Job Title,Company,Location,Description,Date,Deadline,Job Type,Link
"We are looking for a Maritime Domain Data Architect to join our team in Oslo, Norway!",DNV, Høvik,"We are looking for a Maritime Domain Data Architect to join our team in Oslo, Norway!",Ny i dag ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=344820142
Vil du være med å forme fremtidens trafikksikkerhet ved hjelp av data?,Statens vegvesen," Oslo, Trondheim",Vil du være med å forme fremtidens trafikksikkerhet ved hjelp av data?,2 dager siden ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=344651372
Vi søker nå en konsulent for kundekommunikasjon og medierådgivning som vil være en del av vårt Solutions-team,dunnhumby Norge AS, Oslo,Vi søker nå en konsulent for kundekommunikasjon og medierådgivning som vil være en del av vårt Solutions-team,15. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=344211452
We are looking for a full-stack architect and developer to our amazing team in DNV Maritime!,DNV AS, Oslo,We are looking for a full-stack architect and developer to our amazing team in DNV Maritime!,15. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=344219306
Vi søker nysgjerrige innsikts- og strategikonsulenter,dunnhumby Norge AS, Oslo,Vi søker nysgjerrige innsikts- og strategikonsulenter,19. feb. 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=340299300
NEC OncoImmunity AS is looking for a Software Engineer,NEC ONCOIMMUNITY AS, Oslo,NEC OncoImmunity AS is looking for a Software Engineer,4. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=342320964
"Seksjonssjef analyse: En lederrolle i skjæringspunktet mellom data, dyrevelferd og matsikkerhet",Mattilsynet," Oslo, Brumunddal, Hamar","Seksjonssjef analyse: En lederrolle i skjæringspunktet mellom data, dyrevelferd og matsikkerhet",20. feb. 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=340983106
Senior Data Engineer,NES GLOBAL TALENT NORGE AS, Stavanger,Senior Data Engineer,21. feb. 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=341111379
DATA for GOOD - Vil du være med å knekke vekstkurven til kreft?,Kreftforeningen, Oslo,DATA for GOOD - Vil du være med å knekke vekstkurven til kreft?,8. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=343282211
Senior Fullstack utvikler,CENTRIC, Oslo,Senior Fullstack utvikler,14. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=344088989
"Sommerjobb for studenter i Digitale Produktteam, Lede AS",Lede AS, Porsgrunn,"Sommerjobb for studenter i Digitale Produktteam, Lede AS",6. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=342999591
Ph.D.-scholarship,Høgskulen på Vestlandet, Bergen,Ph.D.-scholarship,8. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=343291408
Vil du være med å utvikle Storebrands Forsikrings datavarehus?,Storebrand, Lysaker,Vil du være med å utvikle Storebrands Forsikrings datavarehus?,15. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=344265681
Forsker epidemiologi og legemiddelepidemiologi,Veterinærinstituttet, Ås,Forsker epidemiologi og legemiddelepidemiologi,14. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=344094408
Head of Data & Analytics,Kredinor, Oslo,Head of Data & Analytics,15. feb. 2024 ,False,management,https://www.finn.no/job/management/ad.html?finnkode=340325724
Vil du bruke sommeren på utvikling?,Direktoratet for høyere utdanning og kompetanse, Tromsø,Vil du bruke sommeren på utvikling?,4. mars 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=342740180
Har du PLS kompetanse og ønsker å være med på Axbitlaget?,Axbit, Molde,Har du PLS kompetanse og ønsker å være med på Axbitlaget?,12. feb. 2024 ,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=339982706
